,Record ID,Registration Status,Subject,Course,Campus,Final Grade,Mid Term Grade,Department,Major,Academic Period,Class,Course Code,Major College,Subject College,Withdrew No MT,Dropped no MT,Dropped no Fin,Final Grade Number,Mid Term Grade Number
3967,3967,Registered,ARCH,16841,KC,A,,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,4.0,
3968,3968,Registered,ARCH,16841,KC,A,B,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,3.0
3969,3969,Registered,ARCH,16841,KC,B,C+,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,3.0,2.3
3970,3970,Registered,ARCH,16841,KC,F,C-,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,0.0,1.7
3971,3971,Registered,ARCH,16841,KC,D,D,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,1.0,1.0
3972,3972,Admin Dropped,ARCH,16841,KC,DR,DR,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,True,True,,
3973,3973,Registered,ARCH,16841,KC,A-,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,4.0
3974,3974,Registered,ARCH,16841,KC,A,F,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,False,False,False,4.0,0.0
3975,3975,Registered,ARCH,16841,KC,SF,D,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,0.0,1.0
3976,3976,Registered,ARCH,16841,KC,A-,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,4.0
3977,3977,Registered,ARCH,16841,KC,A,A,ARCH,OTH,Fall 2025,JR,ARCH 16841,Other,CAED,False,False,False,4.0,4.0
3978,3978,Registered,ARCH,16841,KC,A-,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,4.0
3979,3979,Registered,ARCH,16841,KC,C,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,2.0,4.0
3980,3980,Registered,ARCH,16841,KC,B+,,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.3,
3981,3981,Registered,ARCH,16841,KC,B,A,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.0,4.0
3982,3982,Registered,ARCH,16841,KC,A-,A-,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,3.7,3.7
3983,3983,Stopped Attending - Failed,ARCH,16841,KC,W,W,ARCH,COMA,Fall 2025,FR,ARCH 16841,CAED,CAED,True,False,False,0.0,0.0
3984,3984,Registered,ARCH,16841,KC,C-,D,ARCH,OTH,Fall 2025,FR,ARCH 16841,Other,CAED,False,False,False,1.7,1.0
3985,3985,Registered,ARCH,16841,KC,A,A-,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,4.0,3.7
3986,3986,Registered,ARCH,16841,KC,C+,C,ARCH,OTH,Fall 2025,SO,ARCH 16841,Other,CAED,False,False,False,2.3,2.0
