Course Code,Academic Period,Subject,Subject College,Department,MT C or Higher,"MT C-, D, F, W",MT Not Reported,Total Grades,# of Passing Grades,% of Passing Grades
MUS 25988,202380,MUS,CotA,MUS,28.0,3.0,3.0,34.0,0.8235294117647058,82.35%
ARCS 29348,202510,ARCS,CAED,ARCH,14.0,1.0,2.0,17.0,0.8235294117647058,82.35%
VCD 28950,202480,VCD,CCI,VCD,111.0,13.0,11.0,135.0,0.8222222222222222,82.22%
FDM 29298,202410,FDM,CotA,FDM,157.0,19.0,15.0,191.0,0.8219895287958116,82.20%
ARTS 28507,202380,ARTS,CotA,ART,106.0,13.0,10.0,129.0,0.8217054263565892,82.17%
MDJ 28950,202410,MDJ,CCI,MDJ,46.0,6.0,4.0,56.0,0.8214285714285714,82.14%
FDM 23628,202610,FDM,CotA,FDM,46.0,6.0,4.0,56.0,0.8214285714285714,82.14%
THEA 22915,202510,THEA,CotA,THDN,23.0,3.0,2.0,28.0,0.8214285714285714,82.14%
ARTS 26965,202580,ARTS,CotA,ART,32.0,2.0,5.0,39.0,0.8205128205128205,82.05%
MDJ 11788,202310,MDJ,CCI,MDJ,32.0,3.0,4.0,39.0,0.8205128205128205,82.05%
MDJ 25865,202610,MDJ,CCI,MDJ,32.0,4.0,3.0,39.0,0.8205128205128205,82.05%
MDJ 28950,202280,MDJ,CCI,MDJ,64.0,6.0,8.0,78.0,0.8205128205128205,82.05%
ARTH 17400,202410,ARTH,CotA,ART,283.0,37.0,25.0,345.0,0.8202898550724638,82.03%
VCD 13182,202410,VCD,CCI,VCD,73.0,8.0,8.0,89.0,0.8202247191011236,82.02%
FDM 20725,202380,FDM,CotA,FDM,146.0,15.0,17.0,178.0,0.8202247191011236,82.02%
ID 13310,202380,ID,CAED,ARCH,73.0,7.0,9.0,89.0,0.8202247191011236,82.02%
ARCH 13310,202510,ARCH,CAED,ARCH,109.0,15.0,9.0,133.0,0.8195488721804511,81.95%
AED 22860,202580,AED,CAED,ARCH,68.0,8.0,7.0,83.0,0.8192771084337349,81.93%
CMGT 17964,202410,CMGT,CAED,ARCH,68.0,7.0,8.0,83.0,0.8192771084337349,81.93%
ARCH 15217,202510,ARCH,CAED,ARCH,136.0,13.0,17.0,166.0,0.8192771084337349,81.93%
VCD 28950,202280,VCD,CCI,VCD,140.0,18.0,13.0,171.0,0.8187134502923976,81.87%
ARTS 19694,202380,ARTS,CotA,ART,36.0,6.0,2.0,44.0,0.8181818181818182,81.82%
FDM 13023,202480,FDM,CotA,FDM,162.0,22.0,14.0,198.0,0.8181818181818182,81.82%
COMM 21241,202510,COMM,CCI,COMM,45.0,2.0,8.0,55.0,0.8181818181818182,81.82%
ID 13310,202280,ID,CAED,ARCH,99.0,9.0,13.0,121.0,0.8181818181818182,81.82%
EMAT 12670,202510,EMAT,CCI,EMAT,18.0,1.0,3.0,22.0,0.8181818181818182,81.82%
AED 22860,202610,AED,CAED,ARCH,9.0,1.0,1.0,11.0,0.8181818181818182,81.82%
VCD 17656,202280,VCD,CCI,VCD,27.0,5.0,1.0,33.0,0.8181818181818182,81.82%
ARTH 17400,202480,ARTH,CotA,ART,314.0,39.0,31.0,384.0,0.8177083333333334,81.77%
FDM 12670,202580,FDM,CotA,FDM,242.0,33.0,21.0,296.0,0.8175675675675675,81.76%
MUS 23241,202280,MUS,CotA,MUS,478.0,62.0,45.0,585.0,0.8170940170940171,81.71%
CMGT 23815,202580,CMGT,CAED,ARCH,67.0,8.0,7.0,82.0,0.8170731707317073,81.71%
ID 21822,202580,ID,CAED,ARCH,58.0,8.0,5.0,71.0,0.8169014084507042,81.69%
EMAT 26013,202510,EMAT,CCI,EMAT,49.0,9.0,2.0,60.0,0.8166666666666667,81.67%
MDJ 20627,202580,MDJ,CCI,MDJ,49.0,8.0,3.0,60.0,0.8166666666666667,81.67%
FDM 20725,202510,FDM,CotA,FDM,120.0,15.0,12.0,147.0,0.8163265306122449,81.63%
MDJ 28436,202510,MDJ,CCI,MDJ,40.0,3.0,6.0,49.0,0.8163265306122449,81.63%
VCD 19588,202580,VCD,CCI,VCD,142.0,22.0,10.0,174.0,0.8160919540229885,81.61%
FDM 27868,202280,FDM,CotA,FDM,71.0,9.0,7.0,87.0,0.8160919540229885,81.61%
CCI 11716,202310,CCI,CCI,CCI,84.0,11.0,8.0,103.0,0.8155339805825242,81.55%
AED 22860,202280,AED,CAED,ARCH,84.0,6.0,13.0,103.0,0.8155339805825242,81.55%
ART 21467,202380,ART,CotA,ART,53.0,9.0,3.0,65.0,0.8153846153846154,81.54%
ART 21467,202280,ART,CotA,ART,22.0,3.0,2.0,27.0,0.8148148148148148,81.48%
MUS 12716,202480,MUS,CotA,MUS,372.0,47.0,38.0,457.0,0.8140043763676149,81.40%
MDJ 12683,202410,MDJ,CCI,MDJ,35.0,4.0,4.0,43.0,0.813953488372093,81.40%
EMAT 26013,202410,EMAT,CCI,EMAT,48.0,3.0,8.0,59.0,0.8135593220338984,81.36%
FDM 23628,202480,FDM,CotA,FDM,87.0,13.0,7.0,107.0,0.8130841121495327,81.31%
MUS 28740,202610,MUS,CotA,MUS,26.0,5.0,1.0,32.0,0.8125,81.25%
FDM 13023,202280,FDM,CotA,FDM,208.0,22.0,26.0,256.0,0.8125,81.25%
FDM 20725,202410,FDM,CotA,FDM,169.0,17.0,22.0,208.0,0.8125,81.25%
ARCH 19059,202310,ARCH,CAED,ARCH,13.0,1.0,2.0,16.0,0.8125,81.25%
ARCH 19059,202280,ARCH,CAED,ARCH,91.0,12.0,9.0,112.0,0.8125,81.25%
ARCS 13373,202480,ARCS,CAED,ARCH,13.0,0.0,3.0,16.0,0.8125,81.25%
MUS 12716,202380,MUS,CotA,MUS,333.0,40.0,37.0,410.0,0.8121951219512196,81.22%
ARTH 12842,202480,ARTH,CotA,ART,281.0,35.0,30.0,346.0,0.8121387283236994,81.21%
MDJ 13358,202310,MDJ,CCI,MDJ,69.0,10.0,6.0,85.0,0.8117647058823529,81.18%
FDM 13023,202510,FDM,CotA,FDM,125.0,10.0,19.0,154.0,0.8116883116883117,81.17%
VCD 18839,202310,VCD,CCI,VCD,99.0,15.0,8.0,122.0,0.8114754098360656,81.15%
ARCH 16841,202410,ARCH,CAED,ARCH,413.0,52.0,44.0,509.0,0.8113948919449901,81.14%
FDM 24923,202510,FDM,CotA,FDM,146.0,19.0,15.0,180.0,0.8111111111111111,81.11%
FDM 18819,202410,FDM,CotA,FDM,90.0,13.0,8.0,111.0,0.8108108108108109,81.08%
ARTS 28507,202410,ARTS,CotA,ART,60.0,7.0,7.0,74.0,0.8108108108108109,81.08%
VCD 18839,202380,VCD,CCI,VCD,47.0,5.0,6.0,58.0,0.8103448275862069,81.03%
MUS 23241,202510,MUS,CotA,MUS,470.0,56.0,54.0,580.0,0.8103448275862069,81.03%
EMAT 21440,202280,EMAT,CCI,EMAT,47.0,6.0,5.0,58.0,0.8103448275862069,81.03%
FDM 20907,202410,FDM,CotA,FDM,111.0,14.0,12.0,137.0,0.8102189781021898,81.02%
FDM 25884,202380,FDM,CotA,FDM,170.0,22.0,18.0,210.0,0.8095238095238095,80.95%
THEA 15947,202510,THEA,CotA,THDN,17.0,2.0,2.0,21.0,0.8095238095238095,80.95%
THEA 11654,202380,THEA,CotA,THDN,17.0,1.0,3.0,21.0,0.8095238095238095,80.95%
MUS 12459,202580,MUS,CotA,MUS,17.0,1.0,3.0,21.0,0.8095238095238095,80.95%
FDM 19829,202410,FDM,CotA,FDM,119.0,15.0,13.0,147.0,0.8095238095238095,80.95%
ART 21467,202410,ART,CotA,ART,51.0,6.0,6.0,63.0,0.8095238095238095,80.95%
VCD 17213,202480,VCD,CCI,VCD,34.0,3.0,5.0,42.0,0.8095238095238095,80.95%
ARTH 17400,202310,ARTH,CotA,ART,250.0,26.0,33.0,309.0,0.8090614886731392,80.91%
CMGT 16841,202610,CMGT,CAED,ARCH,55.0,6.0,7.0,68.0,0.8088235294117647,80.88%
MUS 12716,202580,MUS,CotA,MUS,317.0,38.0,37.0,392.0,0.8086734693877551,80.87%
FDM 25884,202510,FDM,CotA,FDM,114.0,14.0,13.0,141.0,0.8085106382978723,80.85%
FDM 12670,202280,FDM,CotA,FDM,194.0,26.0,20.0,240.0,0.8083333333333333,80.83%
FDM 13023,202410,FDM,CotA,FDM,139.0,20.0,13.0,172.0,0.8081395348837209,80.81%
MDJ 25946,202280,MDJ,CCI,MDJ,80.0,13.0,6.0,99.0,0.8080808080808081,80.81%
CMGT 16841,202310,CMGT,CAED,ARCH,42.0,4.0,6.0,52.0,0.8076923076923077,80.77%
MDJ 17554,202480,MDJ,CCI,MDJ,42.0,8.0,2.0,52.0,0.8076923076923077,80.77%
MDJ 13358,202580,MDJ,CCI,MDJ,63.0,7.0,8.0,78.0,0.8076923076923077,80.77%
ID 19883,202510,ID,CAED,ARCH,67.0,7.0,9.0,83.0,0.8072289156626506,80.72%
FDM 12670,202610,FDM,CotA,FDM,71.0,12.0,5.0,88.0,0.8068181818181818,80.68%
ARTH 17400,202510,ARTH,CotA,ART,267.0,29.0,35.0,331.0,0.8066465256797583,80.66%
AED 22860,202480,AED,CAED,ARCH,75.0,11.0,7.0,93.0,0.8064516129032258,80.65%
ARCH 14775,202410,ARCH,CAED,ARCH,79.0,10.0,9.0,98.0,0.8061224489795918,80.61%
